"题号","题干","A","B","C","D","E","答案","难度","题型","类别"
"J001","支部大会是团支部的最高领导机构。","","","","","","正确","简单","判断题","支部大会"
"J002","团员连续六个月不交纳团费被视为自行脱团。","","","","","","正确","简单","判断题","团员纪律"
"J003","团的全国代表大会每五年举行一次。","","","","","","正确","简单","判断题","团的组织"
"S001","“三会两制一课”中的“三会”不包括以下哪一项？","支部大会","支部委员会","团小组会","团课","","D","简单","单选题","三会两制一课"
"S002","支部大会一般每多久召开一次？","每月","每季度","每年","每周","","B","简单","单选题","支部大会"
"S003","支部委员会会议一般每多久召开一次？","每月","每季度","每年","每周","","A","简单","单选题","支部委员会"
"S004","团小组负责对本小组团员进行以下哪些工作？","教育、管理、监督","教育、管理、服务","教育、管理、监督、服务","管理、监督、服务","","C","简单","单选题","团小组"
"S005","团员教育评议工作一般每多久进行一次？","每月","每季度","每年","每半年","","C","简单","单选题","团员教育评议"
"S006","团课教育分为哪两个阶段？","团前教育和团员教育","初级教育和高级教育","理论教育和实践教育","集中教育和分散教育","","A","简单","单选题","团课"
"S007","基层团组织开设团课应每多久安排上一次团课？","每月","每季度","每年","每半年","","B","简单","单选题","团课"
"S008","入团积极分子被确定为发展对象之前参加集中团课学习应不少于多少学时？","4","6","8","10","","C","简单","单选题","团课"
"S009","中国共产主义青年团是中国共产党领导的先进青年的什么组织？","政治组织","群团组织","社会组织","政府组织","","B","简单","单选题","团的性质"
"S010","团员在团内享有下列哪些权利？","选举权、被选举权、表决权","选举权、被选举权","选举权、表决权","被选举权、表决权","","A","中等","单选题","团员权利"
"M001","落实“三会两制一课”要坚决防止哪些现象？","表面化","形式化","娱乐化","庸俗化","政治化","ABCD","中等","多选题","三会两制一课"
"M002","下列哪些是团员教育评议采用的方式？","学习教育","自我评价","组织评议","实践行为","民主投票","ABC","中等","多选题","团员教育评议"
"M003","下列哪些是成为优秀团员的主要条件？","理想信念坚定，拥护党的领导","政治意识、大局意识、核心意识、看齐意识强","积极践行社会主义核心价值观","自觉遵守团章，模范履行团员义务","学习成绩优秀，工作本领过硬","ABCDE","困难","多选题","优秀团员"
"M004","下列哪些是基层团组织开设团课的方式？","集体学习","专题研讨","集中收看重要会议活动直播和视频资料","结合主题团日活动组织团员在实践中学习","在线学习","ABCD","中等","多选题","团课"
"M005","共青团的经费来源包括哪些？","团员交纳的团费","党和政府以及企事业单位关于青少年事业的经费","团的工作经费","正当的社会资助和团组织的其它合法收入","企业赞助","ABCD","中等","多选题","经费"
"F001","支部大会享有最高决策权、________和________。","","","","","","(选举权)(监督权)","简单","填空题","支部大会"
"F002","团员教育评议制度是团的组织生活的重要组成部分，采用________、________和________相结合的方式。","","","","","","(学习教育)(自我评价)(组织评议)","中等","填空题","团员教育评议"